   287.000000       1.33299994    
          37          37
   1.25000000       20.0000000    
   1.25000000       20.0000000    
           4           3
          25          70          15
   IIN     XIN       REL SPACING 
   31      0.0550     -0.1258      0.0926      0.2184
   32      0.0587     -0.1299      0.0961      0.2260
   33      0.0625     -0.1342      0.0996      0.2338
   34      0.0663     -0.1383      0.1033      0.2416
   35      0.0703     -0.1413      0.1070      0.2483
   36      0.0744     -0.1443      0.1109      0.2552
   37      0.0786     -0.1474      0.1149      0.2623
   38      0.0829     -0.1506      0.1190      0.2696
   39      0.0873     -0.1539      0.1232      0.2771
   40      0.0918     -0.1572      0.1275      0.2847
   41      0.0964     -0.1599      0.1319      0.2918
   42      0.1011     -0.1621      0.1365      0.2987
   43      0.1059     -0.1645      0.1413      0.3058
   44      0.1108     -0.1669      0.1461      0.3130
   45      0.1159     -0.1693      0.1510      0.3203
   46      0.1210     -0.1718      0.1560      0.3278
   47      0.1261     -0.1735      0.1614      0.3349
   48      0.1314     -0.1753      0.1668      0.3421
   49      0.1368     -0.1771      0.1724      0.3495
   50      0.1423     -0.1787      0.1780      0.3567
   51      0.1478     -0.1797      0.1840      0.3637
   52      0.1535     -0.1808      0.1900      0.3708
   53      0.1592     -0.1818      0.1961      0.3779
   54      0.1650     -0.1825      0.2025      0.3850
   55      0.1709     -0.1831      0.2091      0.3921
   56      0.1769     -0.1836      0.2157      0.3993
   57      0.1830     -0.1839      0.2225      0.4064
   58      0.1891     -0.1839      0.2295      0.4134
   59      0.1954     -0.1839      0.2366      0.4205
   60      0.2017     -0.1837      0.2439      0.4276
   61      0.2080     -0.1831      0.2512      0.4344
   62      0.2145     -0.1826      0.2587      0.4413
   63      0.2210     -0.1818      0.2663      0.4481
   64      0.2276     -0.1807      0.2740      0.4547
   65      0.2342     -0.1796      0.2819      0.4614
   66      0.2409     -0.1782      0.2898      0.4680
   67      0.2477     -0.1766      0.2978      0.4743
   68      0.2546     -0.1749      0.3059      0.4807
   69      0.2615     -0.1729      0.3140      0.4869
   70      0.2684     -0.1707      0.3223      0.4930
   71      0.2755     -0.1684      0.3306      0.4990
   72      0.2826     -0.1657      0.3390      0.5048
   73      0.2897     -0.1629      0.3475      0.5104
   74      0.2969     -0.1601      0.3561      0.5161
   75      0.3041     -0.1566      0.3647      0.5214
   76      0.3114     -0.1532      0.3735      0.5266
   77      0.3187     -0.1495      0.3823      0.5318
   78      0.3261     -0.1454      0.3911      0.5366
   79      0.3335     -0.1413      0.4001      0.5414
   80      0.3410     -0.1368      0.4092      0.5460
   81      0.3485     -0.1320      0.4184      0.5504
   82      0.3560     -0.1271      0.4276      0.5548
   83      0.3636     -0.1217      0.4370      0.5587
   84      0.3712     -0.1162      0.4464      0.5626
   85      0.3789     -0.1102      0.4560      0.5662
   86      0.3865     -0.1040      0.4657      0.5697
   87      0.3942     -0.0977      0.4754      0.5731
   88      0.4020     -0.0906      0.4854      0.5760
   89      0.4097     -0.0835      0.4953      0.5788
   90      0.4175     -0.0760      0.5054      0.5814
   91      0.4253     -0.0680      0.5156      0.5836
   92      0.4331     -0.0600      0.5259      0.5859
   93      0.4409     -0.0511      0.5363      0.5875
   94      0.4488     -0.0423      0.5468      0.5891
