NSTEPS = 5000

Density range:
0.16904597 1.8038849

=== MID-SPAN RESULTS ===
    J     Mach    Pstat(Pa)     Ptot(Pa)    Ttot(K)
  252   0.1867     115191.9     119182.0     584.41
  253   0.1891     115020.3     119043.8     584.16
  254   0.1901     114837.3     118882.0     583.98
  255   0.1918     114614.8     118711.1     583.81
  256   0.1942     114366.7     118531.3     583.66
  257   0.2005     114111.6     118421.5     583.51
  258   0.2085     113770.6     118302.0     583.20
  259   0.2146     113428.3     118161.4     582.90
  260   0.2194     113070.5     117988.7     582.60
  261   0.2240     112652.9     117755.3     582.15
  262   0.2328     112316.9     117745.6     581.88
  263   0.2462     111583.3     117518.3     581.38
  264   0.2573     110931.2     117312.5     580.94
  265   0.2680     110402.2     117273.5     580.75
  266   0.2802     109600.1     117028.2     580.31
  267   0.2929     108909.8     116950.2     580.09
  268   0.3082     107936.7     116759.1     579.73
  269   0.3251     106991.9     116726.4     579.61
  270   0.3408     105896.7     116511.1     579.26
  271   0.3566     104943.7     116557.7     579.25
  272   0.3753     103528.4     116413.5     579.21
  273   0.3940     102039.4     116181.0     579.16
  274   0.4110     100854.2     116129.3     579.33
  275   0.4271      99683.0     116067.6     579.50
  276   0.4429      98537.2     116020.9     579.77
  277   0.4570      97562.2     115950.9     580.10
  278   0.4644      96912.9     115658.9     580.22
  279   0.4708      96730.2     115905.0     580.78
  280   0.4784      96130.3     115685.5     580.90
  281   0.4793      95663.8     115072.7     580.56
  282   0.4778      95948.7     115202.0     580.94
  283   0.4794      95956.5     115196.4     581.14
  284   0.4833      95748.5     115175.9     581.32
  285   0.4886      95447.3     115198.7     581.51
  286   0.4953      95056.5     115271.3     581.77
  287   0.5025      94445.3     115228.6     581.90
  288   0.5120      93689.4     115271.5     582.17
  289   0.5238      92647.9     115167.9     582.35
  290   0.5365      91436.1     114928.8     582.55
  291   0.5500      90188.2     114633.1     582.70
  292   0.5664      88938.6     114297.1     582.72
  293   0.5836      87750.3     113947.9     582.79
  294   0.5992      86610.2     113491.6     582.72
  295   0.6129      85611.5     113070.1     582.65
  296   0.6251      84720.9     112689.9     582.54
  297   0.6371      83851.9     112375.8     582.40
  298   0.6499      82905.6     112067.3     582.27
  299   0.6643      81939.2     111906.6     582.23
  300   0.6802      80978.9     111905.9     582.27
  301   0.6961      79926.0     111830.3     582.23
  302   0.7117      78773.0     111633.9     582.04
  303   0.7264      77648.1     111427.9     581.85
  304   0.7389      76536.3     111080.0     581.55
  305   0.7496      75497.8     110687.5     581.25
  306   0.7591      74443.5     110159.0     580.90
  307   0.7722      73722.7     110109.7     581.15
  308   0.7841      72964.6     109790.5     580.09
  309   0.7862      73408.3     110313.1     579.77
  310   0.7787      73912.4     110277.8     578.94
  311   0.7752      74437.7     110665.5     578.46
  312   0.7876      74511.1     111778.7     578.68
  313   0.8051      73618.5     112013.0     577.73
  314   0.8179      73187.5     112502.4     577.44
  315   0.8294      72613.5     112707.1     577.06
  316   0.8383      72152.8     112853.9     576.75
  317   0.8468      71723.3     113055.5     576.60
  318   0.8528      71388.3     113135.6     576.50
  319   0.8584      71187.0     113411.1     576.61
  320   0.8601      71051.4     113355.3     576.50
  321   0.8624      71089.8     113670.2     576.79
  322   0.8566      71010.6     112872.5     576.16
  323   0.8732      72272.2     116612.6     581.86
  324   0.8706      72350.8     116432.3     581.50
  325   0.8806      72227.2     117550.2     582.99
  326   0.8833      72299.0     118027.2     583.51
  327   0.8870      72117.6     118214.8     583.75
  328   0.8912      72133.0     118809.9     584.40
  329   0.8961      71922.5     119121.1     584.77
  330   0.9011      71896.0     119769.3     585.51
  331   0.9067      71690.7     120205.2     586.06
  332   0.9120      71659.4     120923.5     586.92
  333   0.9178      71423.8     121362.4     587.53
  334   0.9238      71321.2     122090.8     588.40
  335   0.9306      71006.8     122572.6     589.00
  336   0.9375      70851.4     123382.9     589.94
  337   0.9449      70504.9     123944.5     590.74
  338   0.9520      70319.9     124783.9     591.71
  339   0.9601      69894.0     125344.2     592.52
  340   0.9688      69599.7     126309.9     593.59
  341   0.9799      69023.8     127113.8     594.62
  342   0.9917      68597.3     128455.1     595.99
  343   1.0052      67893.7     129568.9     596.75
  344   1.0005      67082.0     126913.1     594.32
  345   0.9658      68092.2     123528.8     591.19
  346   0.9468      68171.6     120813.2     587.79
  347   0.9348      68500.5     119711.3     586.85
  348   0.9181      68705.9     117664.9     584.53
  349   0.9016      69107.4     116258.4     582.87
  350   0.8926      69250.4     115378.8     581.82
  351   0.8865      69231.8     114639.5     580.89
  352   0.8846      69167.2     114286.1     580.54
  353   0.8815      68959.8     113498.3     579.65
  354   0.8696      69099.5     112188.1     578.13
  355   0.8593      69310.3     111349.5     577.03
  356   0.8543      69272.9     110674.2     576.18
  357   0.8492      69204.8     109956.3     575.25
  358   0.8416      69198.1     109009.1     574.06
  359   0.8338      69296.6     108280.4     573.11
  360   0.8299      69262.6     107743.1     572.44
  361   0.8244      69168.2     106939.2     571.44
  362   0.8154      69207.7     106004.5     570.25
  363   0.8095      69227.9     105391.0     569.45
  364   0.8037      69090.0     104518.0     568.36
  365   0.7952      69077.7     103590.0     567.14
  366   0.7885      69048.7     102822.7     566.15
  367   0.7804      68944.3     101829.0     564.84
  368   0.7727      68928.9     101009.8     563.73
  369   0.7651      68799.5     100059.6     562.44
  370   0.7559      68728.3      99060.5     561.07
  371   0.7474      68653.6      98135.0     559.78
  372   0.7389      68538.0      97168.8     558.40
  373   0.7294      68399.3      96107.9     556.87
  374   0.7193      68269.4      95033.8     555.31
  375   0.7088      68095.4      93888.0     553.65
  376   0.6978      67890.9      92689.2     551.88
  377   0.6863      67657.3      91441.2     550.03
  378   0.6743      67386.0      90136.6     548.05
  379   0.6618      67105.2      88824.6     546.08
  380   0.6486      66806.1      87483.0     544.10
  381   0.6353      66483.5      86145.2     542.06
  382   0.6221      66162.4      84852.4     540.07
  383   0.6089      65847.0      83606.2     538.15
  384   0.5957      65510.8      82379.7     536.24
  385   0.5831      65202.5      81248.7     534.46
  386   0.5708      64876.3      80143.1     532.72
  387   0.5586      64550.5      79073.5     531.03
  388   0.5467      64216.2      78037.3     529.39
  389   0.5350      63913.5      77074.1     527.86
  390   0.5238      63606.9      76151.0     526.41
  391   0.5131      63300.5      75272.3     525.02
  392   0.5025      63067.5      74500.1     523.83
  393   0.4939      62806.0      73802.1     522.75
  394   0.4848      62635.9      73197.0     521.80
  395   0.4756      62468.9      72590.6     520.86
  396   0.4687      62189.4      71974.4     519.91
  397   0.4625      62078.5      71590.1     519.32
  398   0.4566      61967.8      71218.9     518.77
  399   0.4514      61876.8      70902.8     518.31
  400   0.4467      61796.2      70618.6     517.90
