
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3965
Pitchline loading         2.7095
Total-Total PR            5.0254
Total-Static PR           5.5853
Energy Extraction           342.3555
Corrected Speed           32.5766
Flow function           0.9440

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.16      78.08      68.85     -76.18     -40.91    0.3342    1.8800      0.3418
    1      Mean      -3.64      72.54      51.08     -64.35     -17.73    0.6975    1.5787      0.4161
    1       Tip      -5.18      80.09       2.60     -48.52      17.92    0.4902    0.9765      0.4588
    2       Hub     -61.68      73.68       1.93     -67.83     -14.29    0.4516    1.5441      0.3751
    2      Mean     -27.21      64.63      -6.62     -59.55       3.49    0.7023    1.1870      0.4236
    2       Tip      16.84      70.75     -48.49     -54.33      17.74    0.6426    0.8712      0.4865


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
  74    156.762      144.717         277.538       -3.013       254056.6          660.7    0.3647    0.6299      708.86      144.842      -11.936       -1.688     1.33114    12.26403
  75    157.819      145.307         291.937       -3.044       247663.1          657.2    0.3621    0.6579      708.84      145.438       -7.480       -1.657     1.30425    12.26262
  76    158.229      145.532         304.475       -3.333       241561.5          653.9    0.3594    0.6823      708.66      145.669       -3.527       -1.740     1.27839    12.26162
  77    156.973      144.809         314.186       -3.882       236515.4          651.5    0.3545    0.7004      708.45      144.961       -0.303       -1.959     1.25684    12.25980
  78    154.163      143.204         321.814       -4.445       232759.7          650.0    0.3476    0.7134      708.43      143.376        2.542       -2.211     1.24085    12.25835
  79    151.072      141.454         329.180       -4.728       229670.6          648.7    0.3409    0.7258      708.61      141.632        5.596       -2.325     1.22796    12.25416
  80    148.908      140.244         337.333       -4.670       226193.7          647.0    0.3369    0.7405      708.70      140.412        9.027       -2.257     1.21364    12.24793
  81    147.808      139.634         345.790       -4.462       222127.2          644.8    0.3362    0.7567      708.60      139.791       12.426       -2.128     1.19676    12.24205
  82    147.070      139.216         353.491       -4.323       218068.9          642.6    0.3375    0.7718      708.45      139.375       15.346       -2.075     1.17968    12.23784
  83    146.117      138.664         359.839       -4.319       214536.4          640.7    0.3391    0.7843      708.38      138.837       17.658       -2.128     1.16462    12.23380
  84    144.860      137.934         364.956       -4.377       211594.0          639.3    0.3407    0.7942      708.39      138.128       19.473       -2.231     1.15195    12.22895
  85    143.475      137.134         369.238       -4.404       209083.9          638.1    0.3422    0.8023      708.42      137.347       20.942       -2.324     1.14104    12.22453
  86    142.162      136.379         372.898       -4.359       206834.7          637.0    0.3439    0.8094      708.42      136.606       22.161       -2.375     1.13122    12.21974
  87    140.910      135.664         376.163       -4.250       204820.9          636.1    0.3458    0.8157      708.45      135.900       23.178       -2.391     1.12233    12.21655
  88    139.817      135.035         379.143       -4.116       202871.7          635.1    0.3478    0.8216      708.44      135.283       24.029       -2.408     1.11365    12.21127
  89    139.480      134.829         381.638       -3.989       201179.4          634.2    0.3504    0.8269      708.45      135.093       24.715       -2.409     1.10607    12.20913
  90    139.005      134.549         383.609       -3.894       199909.2          633.6    0.3519    0.8310      708.42      134.825       25.322       -2.377     1.10036    12.20371
  91    138.400      134.193         385.383       -3.831       199051.8          633.1    0.3526    0.8344      708.52      134.484       25.960       -2.350     1.09643    12.20202
  92    137.297      133.556         386.926       -3.809       198146.3          632.7    0.3522    0.8372      708.40      133.861       26.650       -2.339     1.09236    12.19729
  93    136.747      133.237         388.258       -3.782       197735.7          632.5    0.3519    0.8396      708.60      133.551       27.429       -2.279     1.09034    12.20140
  94    134.734      132.088         389.372       -3.794       197060.7          632.4    0.3491    0.8409      708.55      132.416       28.270       -2.284     1.08697    12.19277
  95    134.809      132.140         392.382       -3.756       197504.7          632.4    0.3467    0.8463      709.11      132.458       30.348       -2.093     1.08939    12.20130
  96    131.347      130.155         393.211       -3.909       197868.1          632.6    0.3391    0.8461      708.92      130.505       32.222       -2.175     1.09113    12.18029
  97    117.926      122.426         386.725       -4.629       199832.5          634.6    0.3216    0.8275      708.08      122.934       30.751       -2.949     1.09836    12.19832
  98    103.036      113.752         372.295       -5.543       203712.4          638.7    0.3085    0.7928      707.68      114.534       22.971       -4.173     1.11184    12.18544
  99     94.121      108.613         364.761       -5.875       208055.5          641.8    0.3047    0.7738      708.59      109.505       18.566       -4.607     1.12902    12.21898
 100    101.237      112.843         370.629       -5.206       208623.0          640.6    0.3083    0.7876      709.04      113.519       22.319       -3.352     1.13397    12.18899
 101    109.034      117.392         378.704       -4.394       205934.3          637.8    0.3125    0.8065      708.45      117.918       27.074       -2.394     1.12492    12.19804
 102    112.173      119.215         385.376       -3.830       204738.0          636.2    0.3151    0.8206      708.75      119.689       30.756       -1.991     1.12130    12.18156
 103    116.256      121.567         390.637       -3.335       203135.5          634.6    0.3212    0.8328      708.71      121.992       33.247       -1.649     1.11567    12.18327
 104    118.832      123.054         394.965       -2.885       201886.2          633.3    0.3262    0.8425      708.78      123.445       35.090       -1.402     1.11119    12.17478
 105    121.775      124.744         398.842       -2.433       200486.3          631.9    0.3322    0.8517      708.70      125.105       36.478       -1.152     1.10604    12.17893
 106    123.578      125.778         401.798       -2.026       199498.8          630.8    0.3364    0.8585      708.67      126.122       37.502       -0.958     1.10244    12.17340
 107    125.078      126.632         404.175       -1.646       198716.3          629.9    0.3403    0.8641      708.63      126.969       38.215       -0.790     1.09967    12.17588
 108    125.771      127.025         405.585       -1.303       198303.5          629.4    0.3423    0.8673      708.54      127.359       38.678       -0.656     1.09836    12.17000
 109    126.071      127.196         407.215       -0.942       198080.0          628.9    0.3444    0.8708      708.66      127.529       39.191       -0.522     1.09786    12.17327
