
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3965
Pitchline loading         2.7099
Total-Total PR            5.0265
Total-Static PR           5.5864
Energy Extraction           342.3371
Corrected Speed           32.5765
Flow function           0.9440

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.16      78.08      68.94     -76.15     -40.86    0.3337    1.8782      0.3418
    1      Mean      -3.64      72.54      51.08     -64.31     -17.72    0.6973    1.5795      0.4162
    1       Tip      -5.12      80.10       2.55     -49.32      16.49    0.4884    0.9920      0.4572
    2       Hub     -61.59      73.68       1.83     -67.81     -14.27    0.4511    1.5417      0.3747
    2      Mean     -27.45      64.62      -6.70     -59.55       3.50    0.7021    1.1862      0.4233
    2       Tip      17.03      70.70     -48.29     -54.35      17.69    0.6753    0.8694      0.4861


Span station K = 1

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
  55     60.227       87.226          39.085       24.565       329945.9          702.9    0.5023    0.2000      709.02       90.620      -70.392       15.036     1.63508     0.00000
  56     66.095       90.365          44.803       25.659       328606.6          702.4    0.4963    0.2094      709.04       93.939      -69.215       15.161     1.62964     0.00000
  57     72.472       93.722          51.243       27.036       326955.8          701.7    0.4898    0.2203      709.04       97.545      -67.866       15.385     1.62293     0.00000
  58     79.105       97.269          58.502       28.276       325024.7          700.9    0.4826    0.2326      709.06      101.297      -66.336       15.483     1.61503     0.00000
  59     85.499      100.639          66.745       29.638       322733.7          699.9    0.4742    0.2461      709.02      104.913      -64.632       15.671     1.60570     0.00000
  60     92.416      104.296          75.981       31.065       320186.6          698.8    0.4653    0.2616      709.08      108.825      -62.645       15.825     1.59524     0.00000
  61     98.764      107.694          86.298       32.233       316906.5          697.4    0.4553    0.2786      708.93      112.416      -60.440       15.896     1.58184     0.00000
  62    104.778      110.892          97.603       33.411       313573.8          696.0    0.4444    0.2972      708.99      115.817      -57.969       15.992     1.56805     0.00000
  63    110.040      113.759         109.879       34.212       309329.2          694.1    0.4328    0.3173      708.83      118.793      -55.222       15.960     1.55042     0.00000
  64    113.697      115.707         122.874       34.914       305007.5          692.3    0.4198    0.3379      708.79      120.861      -52.262       16.010     1.53223     0.00000
  65    117.130      117.593         136.183       35.386       300191.0          690.4    0.4071    0.3596      708.77      122.802      -49.027       15.970     1.51171     0.00000
  66    118.574      118.437         149.881       35.414       294880.7          688.2    0.3932    0.3814      708.62      123.619      -45.614       15.885     1.48890     0.00000
  67    119.489      118.960         163.351       35.471       289573.5          686.3    0.3797    0.4033      708.64      124.137      -42.036       15.849     1.46574     0.00000
  68    119.882      119.296         176.634       35.117       283729.4          684.1    0.3667    0.4253      708.52      124.359      -38.313       15.677     1.44012     0.00000
  69    119.182      119.056         189.872       34.526       277802.2          682.0    0.3536    0.4472      708.54      123.963      -34.431       15.475     1.41378     0.00000
  70    118.488      118.759         203.142       34.142       271329.0          679.7    0.3415    0.4698      708.48      123.571      -30.324       15.365     1.38489     0.00000
  71    118.062      118.707         216.297       33.441       264529.2          677.4    0.3309    0.4929      708.50      123.330      -26.033       15.096     1.35426     0.00000
  72    116.762      118.220         229.417       32.451       257203.0          674.9    0.3207    0.5160      708.39      122.595      -21.605       14.757     1.32114     0.00000
  73    115.850      117.843         242.550       31.870       249780.2          672.5    0.3121    0.5397      708.49      122.079      -16.980       14.570     1.28721     0.00000
  74    116.197      118.288         255.617       30.960       241722.9          669.8    0.3062    0.5643      708.53      122.275      -12.200       14.153     1.25030     0.00000
  75    115.515      118.169         268.315       29.874       233518.7          667.1    0.3013    0.5881      708.59      121.889       -7.522       13.723     1.21238     0.00000
  76    114.863      117.997         278.815       29.043       225352.8          664.7    0.2981    0.6079      708.47      121.521       -3.685       13.399     1.17415     0.00000
