
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3962
Pitchline loading         3.1527
Total-Total PR            4.9704
Total-Static PR           5.6019
Energy Extraction           402.6880
Corrected Speed           32.5748
Flow function           0.9511

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.39      78.08     -77.04     -77.26     -38.20    0.3297    0.8282      0.3583
    1      Mean      -3.88      72.47      44.21     -66.36     -16.31    0.6261    1.6465      0.4253
    1       Tip      -5.43      79.36     -83.12     -51.26      24.16    0.4688    0.3283      0.4669
    2       Hub     -53.89      73.33      -1.64     -69.73     -22.59    0.4447    1.3810      0.3991
    2      Mean     -20.04      64.32     -10.53     -59.85      -0.63    0.6939    1.1643      0.4588
    2       Tip      26.36      70.09     -50.76     -55.34      12.40    0.6493    0.8302      0.5255


Span station K = 37

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
  99    -30.018       36.831         203.681       -0.439       221510.7          564.3    0.2707    0.4564      584.70       36.840      -67.076       -0.788     1.46213     0.00000
 100    -27.403       38.216         209.003        0.074       221831.6          577.0    0.2536    0.4637      597.76       38.217      -67.166        0.090     1.42082     0.00000
 101    -22.655       40.716         216.930        0.177       220551.6          586.0    0.2354    0.4765      607.86       40.717      -65.911        0.261     1.38220     0.00000
 102    -20.323       41.942         223.965        0.321       220311.1          593.1    0.2202    0.4872      616.15       41.944      -64.583        0.461     1.35606     0.00000
 103    -17.619       43.365         229.711        0.382       219442.2          597.9    0.2091    0.4964      621.93       43.367      -62.919        0.530     1.33327     0.00000
 104    -16.200       44.112         234.319        0.437       219025.9          601.8    0.2003    0.5033      626.72       44.114      -61.437        0.598     1.31641     0.00000
 105    -15.145       44.666         238.239        0.488       218248.3          604.8    0.1932    0.5093      630.54       44.670      -59.999        0.652     1.30070     0.00000
 106    -13.978       45.281         241.604        0.522       217985.5          607.4    0.1874    0.5144      633.89       45.284      -58.501        0.687     1.28914     0.00000
 107    -13.180       45.701         244.428        0.458       217458.2          609.3    0.1826    0.5189      636.37       45.704      -57.181        0.593     1.27847     0.00000
 108    -11.307       46.685         246.604        0.685       217558.8          611.2    0.1796    0.5224      638.81       46.690      -55.726        0.858     1.27219     0.00000
