Span station K = 1

J    %dVm      Vx(m/s)     Vtheta(m/s)   Vr(m/s)      Pstat(Pa)    Mrel      T0(K)      Vm(m/s)     Swirl(deg)  Pitch(deg)  Density
 143    -23.196       36.337         274.503        0.590       143558.6    0.3989      650.75       75.292      -12.316       -2.675     0.83350
 144    -32.583       30.607         263.632        1.005       146118.7    0.3716      648.49       66.090      -12.199       -1.511     0.84519
 145    -38.972       18.122         245.344        2.326       148344.5    0.3488      647.17       59.827      -17.212        1.018     0.85234
 146    -27.694        3.253         214.694        0.476       148809.2    0.3667      641.35       70.882      -24.380       -0.894     0.85498
 147    -19.853       -5.633         190.009       -1.648       148006.5    0.3835      635.27       78.570      -29.255       -1.769     0.85354
 148    -18.882       -6.246         182.271       -1.417       147736.9    0.3736      634.48       79.521      -33.408       -1.378     0.84915
 149    -20.703       -4.004         183.566       -1.508       148887.1    0.3544      634.75       77.736      -34.189       -1.583     0.85293
 150    -23.850       -0.021         181.815       -1.247       150011.7    0.3395      632.78       74.651      -35.158       -1.059     0.85939
 151    -28.936        6.316         180.119       -0.648       150412.5    0.3242      630.85       69.666      -37.365       -1.515     0.86219
 152    -33.345       12.090         180.115       -0.129       151443.5    0.3089      630.22       65.343      -38.365       -0.769     0.86754
 153    -38.307       17.995         178.833        0.350       152183.9    0.2975      629.04       60.478      -41.647       -0.404     0.87189
 154    -43.093       22.358         177.506        0.863       153148.1    0.2891      628.49       55.786      -44.186        0.886     0.87699
 155    -46.605       25.426         177.269        1.193       153919.5    0.2834      628.19       52.344      -45.847        0.121     0.88125
 156    -49.804       26.801         175.713        1.311       154456.8    0.2831      627.38       49.208      -47.408        0.735     0.88496
 157    -51.693       27.097         171.181        1.016       155074.5    0.2909      625.86       47.356      -48.212       -0.089     0.88980
 158    -52.561       26.893         166.304        0.697       155008.7    0.2990      623.18       46.505      -49.844       -0.629     0.89248
 159    -52.254       26.811         163.756        0.781       154665.7    0.3042      620.70       46.806      -50.683       -0.141     0.89368
 160    -51.576       27.328         162.917        0.672       154109.9    0.3080      618.63       47.471      -49.722        0.088     0.89370
 161    -50.921       27.658         162.410        0.599       153412.1    0.3114      616.39       48.113      -48.712       -0.127     0.89337
 162    -48.805       27.569         161.208        0.488       152845.4    0.3167      614.41       50.187      -48.170        2.005     0.89330
 163    -46.901       27.974         160.538        0.332       152250.4    0.3209      613.65       52.054      -46.800        1.430     0.89111
 164    -45.361       31.384         159.480        0.144       152075.0    0.3251      613.73       53.563      -46.668        1.305     0.88981
 165    -44.008       37.397         159.222       -0.070       151417.5    0.3267      613.24       54.890      -48.346        0.674     0.88668
 166    -38.840       43.881         164.841       -0.077       150487.0    0.3209      613.71       59.957      -46.800       -0.184     0.88171
 167    -32.745       48.869         169.929       -0.246       149628.7    0.3197      614.64       65.931      -39.258        0.120     0.87677
 168    -31.134       51.602         168.808       -0.506       149196.4    0.3235      614.77       67.510      -38.999       -0.001     0.87391
 169    -29.468       54.808         165.890       -0.913       148983.0    0.3291      614.25       69.143      -40.703        1.099     0.87267
 170    -25.475       59.557         162.909       -1.313       148655.2    0.3370      613.63       73.058      -41.598        0.821     0.87107
 171    -20.353       65.860         159.212       -1.738       148366.6    0.3477      613.11       78.079      -42.720        1.091     0.86951
 172    -15.687       72.587         153.570       -2.447       147907.3    0.3605      611.79       82.653      -44.626        1.881     0.86747
 173    -10.092       80.277         146.095       -3.541       147285.8    0.3780      610.26       88.139      -46.414        0.575     0.86467
 174     -3.930       88.533         138.140       -5.255       146042.3    0.3973      608.57       94.179      -47.850       -0.413     0.85872
 175      2.680       97.465         130.110       -7.363       144563.0    0.4166      606.82      100.659      -49.152       -2.623     0.85151
 176      9.947      106.747         121.711       -9.897       142631.4    0.4369      604.96      107.782      -50.193       -6.627     0.84198
 177     16.770      113.738         113.631      -12.346       140455.0    0.4548      603.13      114.471      -50.916       -7.117     0.83103
 178     22.452      119.137         105.539      -14.235       138366.8    0.4714      601.51      120.042      -51.687       -7.292     0.82022
 179     26.741      123.121          96.937      -16.336       136014.8    0.4878      599.59      124.246      -52.687       -7.801     0.80804
 180     28.420      124.528          89.513      -18.242       133704.0    0.4998      597.53      125.893      -53.807       -8.424     0.79613
 181     28.524      124.441          83.907      -19.570       131637.1    0.5075      595.65      125.994      -54.889       -8.924     0.78543
 182     27.433      123.153          79.106      -20.873       129636.6    0.5129      593.71      124.925      -56.099       -9.545     0.77513
 183     26.091      121.596          75.021      -22.137       127844.6    0.5175      591.92      123.609      -57.213      -10.233     0.76605
 184     24.090      119.412          71.930      -23.134       126074.0    0.5200      590.69      121.648      -58.282      -10.878     0.75656
 185     21.475      116.628          69.055      -23.955       124642.2    0.5214      590.26      119.084      -59.449      -11.521     0.74806
 186     19.628      114.546          66.360      -25.023       123395.2    0.5238      589.77      117.273      -60.411      -12.227     0.74087
 187     17.972      112.625          64.569      -26.150       122329.7    0.5249      589.35      115.650      -61.182      -12.951     0.73482
 188     16.105      110.495          63.239      -27.180       121201.7    0.5252      588.83      113.820      -61.926      -13.685     0.72852
 189     15.083      109.124          61.537      -28.503       120168.6    0.5271      588.37      112.818      -62.535      -14.481     0.72274
 190     14.550      108.215          60.824      -29.859       119126.6    0.5279      588.03      112.295      -62.844      -15.234     0.71689
 191     14.122      107.428          61.374      -31.095       118308.6    0.5264      588.01      111.876      -62.942      -15.902     0.71205
 192     13.252      106.147          61.538      -32.395       117745.1    0.5251      588.05      111.023      -63.163      -16.675     0.70848
 193     12.841      105.441          62.775      -33.384       117382.4    0.5220      588.85      110.620      -63.235      -17.129     0.70546
