STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3      Phi       Psi    Reaction
    1       Hub      -2.39      78.51     -73.66     -76.36    0.3064    0.8248      0.7119
    1      Mean      -3.87      72.46      47.70     -63.21    0.6828    1.4970      0.4243
    1       Tip      -5.42      79.58    -117.70     -50.61    0.4765    0.4562      0.4895
    2       Hub     -57.60      73.64       4.31     -68.45    0.4580    1.2868      0.5782
    2      Mean     -17.66      65.16      -4.64     -59.66    0.6882    1.1295      0.4912
    2       Tip      21.97      70.21     -46.41     -52.99    0.6131    0.7016      0.5770


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
 411    238.345      178.706          34.141        5.456        61104.5          462.4    0.7681    0.4715      479.81      178.831      -56.429        1.407     0.46090
 412    235.479      177.196          35.166        5.300        61017.4          462.3    0.7641    0.4693      479.60      177.316      -56.559        1.377     0.46033
 413    236.149      177.552          32.872        5.302        61369.1          462.9    0.7684    0.4641      479.87      177.670      -56.660        1.417     0.46229
 414    234.653      176.761          32.582        5.271        61400.6          462.6    0.7688    0.4591      479.18      176.879      -56.966        1.409     0.46291
 415    213.842      165.778          41.558        4.288        62439.7          464.8    0.7357    0.4471      480.60      165.880      -57.734        1.013     0.46843
 416    190.894      153.610          55.643        2.797        63865.4          468.5    0.6899    0.4486      484.41      153.751      -57.966       -0.023     0.47511
 417    174.992      145.122          64.261        1.514        64993.1          471.1    0.6596    0.4487      487.17      145.346      -58.153       -1.003     0.48043
 418    181.908      148.811          58.603        1.541        65412.3          471.5    0.6740    0.4408      486.90      149.001      -57.763       -0.476     0.48302
 419    191.460      153.907          50.130        2.040        64656.1          469.3    0.6971    0.4309      483.84      154.050      -57.910        0.120     0.47993
 420    195.600      156.111          42.081        2.367        64536.2          468.2    0.7157    0.4206      482.08      156.238      -58.582        0.413     0.48013
 421    201.617      159.309          36.027        2.798        63916.7          466.5    0.7323    0.4167      480.02      159.419      -58.687        0.707     0.47743
 422    205.114      161.147          30.906        3.226        63669.1          465.6    0.7451    0.4139      478.94      161.267      -58.912        0.970     0.47652
 423    208.878      163.149          27.642        3.104        63253.5          464.6    0.7545    0.4131      477.87      163.256      -58.915        0.901     0.47445
 424    211.512      164.456          22.504       -0.164        62846.6          463.5    0.7672    0.4115      476.65      164.648      -59.199       -0.409     0.47260
 425    214.368      166.063          18.610        3.616        62375.7          462.3    0.7774    0.4093      475.24      166.158      -59.359        1.190     0.47034
 426    217.348      167.493          15.417        7.213        62052.8          461.3    0.7865    0.4094      474.18      167.733      -59.422        2.588     0.46894
 427    220.243      168.897          12.753        8.966        61880.8          460.4    0.7942    0.4105      473.37      169.263      -59.423        3.187     0.46848
 428    222.498      170.072          10.051        9.217        61710.8          459.5    0.8018    0.4116      472.51      170.455      -59.495        3.239     0.46809
 429    223.922      170.845           7.705        8.986        61584.7          458.6    0.8082    0.4122      471.65      171.208      -59.601        3.137     0.46801
 430    224.853      171.366           6.110        8.583        61574.1          458.0    0.8125    0.4128      471.02      171.700      -59.677        2.985     0.46856
 431    224.748      171.354           5.019        7.834        61696.4          457.7    0.8150    0.4124      470.67      171.644      -59.786        2.730     0.46980
 432    224.412      171.225           4.181        6.941        61852.0          457.5    0.8167    0.4117      470.41      171.467      -59.890        2.419     0.47119
 433    224.355      171.235           3.156        5.984        62022.4          457.2    0.8190    0.4114      470.12      171.436      -59.983        2.079     0.47274
 434    224.876      171.543           2.381        5.161        62115.4          456.9    0.8212    0.4120      469.84      171.712      -60.002        1.767     0.47376
