STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3      Phi       Psi    Reaction
    1       Hub      -2.39      78.51     -73.66     -76.36    0.3064    0.8248      0.7119
    1      Mean      -3.87      72.46      47.70     -63.21    0.6828    1.4970      0.4243
    1       Tip      -5.42      79.58    -117.70     -50.61    0.4765    0.4562      0.4895
    2       Hub     -57.60      73.64       4.31     -68.45    0.4580    1.2868      0.5782
    2      Mean     -17.66      65.16      -4.64     -59.66    0.6882    1.1295      0.4912
    2       Tip      21.97      70.21     -46.41     -52.99    0.6131    0.7016      0.5770


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
  98     97.562      103.871         341.535       -3.190       205630.8          573.5    0.3205    0.7598      633.87      104.420       10.371       -3.170     1.30515
  99     89.829       99.670         335.900       -3.611       209314.0          577.5    0.3165    0.7440      636.28      100.333        6.909       -3.743     1.31478
 100     96.952      103.565         341.804       -3.139       209769.8          579.4    0.3111    0.7586      639.42      104.098        9.865       -2.740     1.30661
 101    104.765      107.793         349.397       -2.527       207381.7          578.9    0.3073    0.7772      640.65      108.228       14.067       -1.914     1.28878
 102    108.442      109.767         356.018       -2.104       206476.7          579.6    0.3045    0.7914      642.94      110.171       17.692       -1.570     1.27896
 103    113.123      112.274         361.450       -1.707       205002.2          579.8    0.3059    0.8039      644.69      112.645       20.658       -1.250     1.26646
 104    116.216      113.931         366.152       -1.351       203905.8          580.5    0.3071    0.8140      646.67      114.280       23.090       -1.029     1.25571
 105    119.720      115.802         370.410       -0.990       202626.8          581.1    0.3104    0.8234      648.55      116.132       25.127       -0.807     1.24443
 106    122.050      117.043         373.812       -0.665       201769.8          581.9    0.3129    0.8304      650.38      117.364       26.681       -0.642     1.23562
 107    124.154      118.156         376.676       -0.364       201059.6          582.8    0.3157    0.8362      652.20      118.476       27.849       -0.503     1.22772
 108    125.433      118.829         378.803       -0.099       200704.6          584.0    0.3172    0.8399      654.12      119.152       28.745       -0.399     1.22139
 109    126.383      119.327         380.981        0.216       200503.3          585.3    0.3189    0.8436      656.08      119.654       29.609       -0.275     1.21605
 110    127.168      119.735         381.956        0.451       200283.1          586.9    0.3193    0.8445      657.99      120.069       30.045       -0.189     1.21002
 111    134.031      123.580         413.560        5.366       202248.9          601.4    0.3511    0.8999      682.48      123.696       42.729        2.484     1.17178
