Span station K = 19

J          %dVm         Vx(m/s)     Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)   Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density
  74    156.771      144.726         277.557       -3.014       254052.3          660.8    0.3647    0.6299      708.96      144.850      -11.930       -1.688     1.33091
  75    157.826      145.314         291.954       -3.045       247659.2          657.3    0.3621    0.6579      708.94      145.445       -7.475       -1.658     1.30403
  76    158.236      145.539         304.490       -3.336       241558.4          654.0    0.3594    0.6823      708.76      145.677       -3.522       -1.741     1.27818
  77    156.979      144.816         314.201       -3.885       236512.6          651.6    0.3545    0.7004      708.54      144.968       -0.298       -1.960     1.25663
  78    154.170      143.211         321.829       -4.449       232755.4          650.1    0.3476    0.7134      708.52      143.383        2.547       -2.212     1.24065
  79    151.083      141.463         329.196       -4.731       229661.7          648.8    0.3409    0.7259      708.70      141.641        5.602       -2.326     1.22775
  80    148.923      140.255         337.353       -4.673       226180.2          647.1    0.3369    0.7406      708.78      140.423        9.034       -2.258     1.21342
  81    147.823      139.645         345.814       -4.464       222111.0          644.8    0.3363    0.7568      708.67      139.802       12.434       -2.129     1.19653
  82    147.086      139.228         353.515       -4.325       218051.3          642.6    0.3375    0.7719      708.52      139.386       15.353       -2.076     1.17946
  83    146.133      138.676         359.861       -4.322       214517.5          640.8    0.3391    0.7843      708.45      138.849       17.664       -2.129     1.16440
  84    144.876      137.946         364.980       -4.379       211573.4          639.4    0.3407    0.7942      708.45      138.140       19.479       -2.232     1.15172
  85    143.494      137.147         369.266       -4.406       209061.9          638.2    0.3422    0.8024      708.49      137.360       20.950       -2.325     1.14082
  86    142.181      136.394         372.928       -4.361       206811.2          637.1    0.3439    0.8094      708.48      136.620       22.169       -2.376     1.13099
  87    140.931      135.679         376.197       -4.251       204796.2          636.1    0.3458    0.8158      708.51      135.915       23.187       -2.392     1.12211
  88    139.840      135.050         379.179       -4.117       202846.4          635.1    0.3478    0.8217      708.50      135.299       24.038       -2.408     1.11343
  89    139.503      134.846         381.675       -3.990       201154.0          634.3    0.3504    0.8270      708.51      135.109       24.725       -2.409     1.10585
  90    139.029      134.565         383.648       -3.895       199883.1          633.6    0.3520    0.8310      708.48      134.841       25.332       -2.377     1.10014
  91    138.427      134.212         385.426       -3.831       199025.3          633.2    0.3526    0.8345      708.58      134.502       25.971       -2.349     1.09621
  92    137.323      133.573         386.972       -3.808       198118.8          632.7    0.3522    0.8373      708.46      133.879       26.662       -2.337     1.09214
  93    136.776      133.256         388.306       -3.780       197708.6          632.6    0.3520    0.8397      708.66      133.571       27.441       -2.277     1.09012
  94    134.759      132.105         389.416       -3.791       197031.8          632.5    0.3492    0.8409      708.62      132.433       28.280       -2.283     1.08674
  95    134.841      132.161         392.423       -3.754       197473.5          632.5    0.3467    0.8464      709.17      132.479       30.356       -2.091     1.08915
  96    131.385      130.180         393.251       -3.906       197833.7          632.6    0.3392    0.8461      708.98      130.529       32.229       -2.173     1.09088
  97    117.967      122.452         386.774       -4.627       199798.8          634.6    0.3216    0.8275      708.15      122.960       30.763       -2.947     1.09810
  98    103.085      113.782         372.340       -5.540       203679.7          638.8    0.3086    0.7929      707.76      114.564       22.983       -4.170     1.11157
  99     94.158      108.637         364.792       -5.870       208021.3          641.9    0.3048    0.7738      708.66      109.529       18.570       -4.604     1.12873
 100    101.281      112.872         370.661       -5.200       208587.5          640.6    0.3084    0.7876      709.11      113.547       22.324       -3.347     1.13370
 101    109.082      117.423         378.742       -4.386       205898.4          637.8    0.3126    0.8065      708.51      117.948       27.082       -2.390     1.12465
 102    112.219      119.245         385.418       -3.823       204703.7          636.3    0.3152    0.8207      708.81      119.717       30.764       -1.987     1.12103
 103    116.305      121.597         390.679       -3.328       203101.6          634.6    0.3213    0.8328      708.77      122.022       33.255       -1.645     1.11541
 104    118.878      123.082         395.006       -2.879       201853.2          633.3    0.3263    0.8426      708.84      123.474       35.095       -1.399     1.11094
 105    121.823      124.774         398.878       -2.428       200452.8          631.9    0.3322    0.8517      708.76      125.136       36.481       -1.150     1.10579
 106    123.625      125.807         401.832       -2.020       199465.0          630.9    0.3365    0.8585      708.72      126.152       37.504       -0.955     1.10219
 107    125.123      126.660         404.214       -1.640       198681.8          630.0    0.3404    0.8641      708.68      126.997       38.219       -0.788     1.09942
 108    125.817      127.054         405.630       -1.298       198268.2          629.4    0.3424    0.8674      708.59      127.388       38.685       -0.654     1.09811
 109    126.117      127.225         407.251       -0.938       198042.1          629.0    0.3444    0.8709      708.71      127.558       39.194       -0.520     1.09760
 110    126.243      127.292         407.202       -0.636       197771.6          628.8    0.3443    0.8709      708.50      127.629       39.216       -0.413     1.09640
 111    124.881      126.779         428.868        4.556       200038.4          621.9    0.3718    0.9169      708.91      126.861       45.605        2.057     1.12084
 112    125.885      126.962         428.344      -10.870       200163.9          621.9    0.3718    0.9162      708.81      127.427       45.362       -4.876     1.12148
 113     95.839      110.158         421.239       -8.348       202598.0          624.0    0.3379    0.8924      706.81      110.477       48.282       -4.298     1.13122
 114     92.998      108.594         421.337       -7.739       202916.4          624.2    0.3362    0.8918      706.98      108.875       48.778       -4.019     1.13255
 115     89.956      106.909         421.617       -7.197       202696.2          624.1    0.3349    0.8919      706.86      107.158       49.360       -3.771     1.13157
 116     86.462      104.962         422.259       -6.752       202869.2          624.2    0.3340    0.8924      707.10      105.188       50.115       -3.585     1.13235
 117     82.496      102.740         423.150       -6.401       202565.8          623.9    0.3334    0.8937      707.12      102.950       51.031       -3.464     1.13104
 118     78.641      100.577         424.316       -6.131       202626.0          623.9    0.3335    0.8954      707.49      100.775       52.002       -3.396     1.13133
 119     74.391       98.185         425.805       -5.949       202298.1          623.7    0.3342    0.8980      707.75       98.378       53.129       -3.411     1.12990
 120     70.619       96.053         427.655       -5.869       202302.8          623.7    0.3361    0.9014      708.38       96.250       54.231       -3.517     1.12996
 121     66.314       93.610         429.840       -5.875       201851.5          623.3    0.3388    0.9056      708.87       93.822       55.487       -3.758     1.12800
 122     62.540       91.457         432.313       -5.917       201648.3          623.1    0.3425    0.9106      709.63       91.693       56.656       -4.068     1.12720
 123     58.132       88.932         434.996       -5.991       200965.0          622.6    0.3468    0.9162      710.19       89.206       57.959       -4.554     1.12425
 124     54.608       86.887         437.822       -6.110       200605.4          622.3    0.3520    0.9222      711.04       87.218       59.064       -5.197     1.12280
 125     50.659       84.561         440.850       -6.273       199800.5          621.7    0.3579    0.9289      711.73       84.990       60.243       -6.270     1.11933
 126     48.036       82.930         444.129       -6.480       199340.6          621.2    0.3649    0.9362      712.74       83.510       61.122       -7.785     1.11749
 127     45.043       80.923         447.593       -6.705       198327.8          620.5    0.3726    0.9442      713.54       81.822       62.050      -10.665     1.11314
 128     44.259       79.679         450.972       -6.859       197625.0          619.8    0.3806    0.9521      714.48       81.380       62.489      -13.608     1.11031
 129     45.664       77.990         455.208       -7.065       196313.0          618.8    0.3905    0.9621      715.49       82.172       62.480      -11.790     1.10461
 130     50.328       77.362         460.687       -7.524       195459.9          618.1    0.4035    0.9746      717.38       84.804       61.851      -10.640     1.10102
 131     54.518       76.745         463.047       -7.336       194047.3          617.0    0.4102    0.9811      717.59       87.167       61.256       -8.585     1.09486
 132     59.430       76.625         458.177       -6.714       192899.2          616.8    0.4024    0.9721      715.60       89.938       60.175       -7.418     1.08864
 133     87.435       90.626         445.764       -4.881       194377.2          618.3    0.3895    0.9507      713.33      105.736       54.803       -0.155     1.09395
 134     98.312       96.867         434.858       -3.150       194555.7          618.0    0.3753    0.9316      709.62      111.872       51.259        2.293     1.09525
 135     97.353       99.537         429.891       -2.553       195521.8          619.0    0.3666    0.9211      708.85      111.331       50.500        3.017     1.09914
 136    102.137      104.248         427.142       -2.085       195135.2          618.7    0.3657    0.9177      708.08      114.030       48.947        3.723     1.09727
 137    105.306      109.114         424.485       -1.628       194939.3          618.5    0.3642    0.9140      707.57      115.818       47.406        4.837     1.09628
 138    112.997      115.603         423.069       -1.267       193793.2          617.5    0.3682    0.9148      706.92      120.157       44.933        5.720     1.09133
 139    122.615      122.902         422.532       -1.059       193022.4          616.8    0.3751    0.9175      707.04      125.582       41.556        6.089     1.08800
 140    137.531      132.187         419.735       -0.547       191886.5          615.8    0.3824    0.9176      706.08      133.997       37.052        5.869     1.08294
 141    142.730      135.675         414.855        0.176       192025.7          616.1    0.3801    0.9090      704.69      136.929       34.191        5.095     1.08337
